36,7b,33,76,31,7c,21,7a,23,78,31,78,3f,74,42,71
46,77,40,70,2b,7d,2f,79,41,79,37,73,30,7e,34,79
35,7d,35,7a,35,7d,38,7a,43,78,47,76,4c,79,36,77
1f,7e,1e,7e,3f,74,4f,71,43,74,35,73,39,76,35,75
35,7b,28,79,29,77,4c,7e,32,75,33,78,36,76,31,77
41,6f,38,71,59,6d,4c,71,49,65,45,72,5c,62,55,73
34,7b,28,77,2d,7d,2d,7b,38,75,41,7a,3b,6f,44,73
37,6e,39,74,43,69,44,70,4a,74,52,6f,43,7e,32,7a
33,ff82,39,79,30,ff80,31,7c,2f,7e,23,7d,2e,7c,2c,7c
2a,7e,1c,7d,5a,ff88,38,76,23,7e,23,7e,28,7e,20,7e
1a,7f,1c,7f,1e,7f,1d,7e,1e,7f,1b,7f,1a,7f,1a,7f
1a,7f,1b,7f,3a,77,3b,7a,43,77,33,7c,41,7b,2e,7e
27,7b,2d,7c,3a,76,40,77,34,75,38,78,4c,6e,4d,74
56,75,30,77,30,7b,2f,7a,36,78,30,78,21,7f,22,7d
32,7d,2e,7b,35,7a,41,78,4b,6e,4b,71,3c,7a,2b,78
3b,73,4a,76,48,70,55,6e,59,69,4d,70,4f,6b,4d,6d
4b,68,49,6e,4d,6a,53,6e,44,70,41,73,45,73,39,72
3f,75,48,71,33,79,37,7a,2e,73,41,73,52,69,56,6a
61,77,60,69,55,73,40,6f,30,6e,3b,76,49,65,55,70
47,6f,46,6f,4e,6c,73,6f,ff8c,6a,77,70,64,67,52,6f
4e,64,55,73,5e,6d,5f,76,66,73,6b,72,6a,6f,5b,6f
38,67,70,6f,ff82,66,5a,6f,67,64,6e,6d,6e,60,79,6b
27,7e,25,7d,23,7e,1e,7d,19,7f,1c,7e,2a,7e,22,7d
21,7e,24,7c,25,7c,30,7a,25,7d,25,7e,2e,7e,27,7a
28,7d,2f,78,35,7a,37,74,45,74,27,74,32,79,43,72
51,78,31,75,21,79,2b,79,51,73,40,6f,2e,77,34,75
